questionID,titleQuestion,ans1,ans2,ans3,ans4,answerid,image
1,Who directed 'E.T. the Extra-Terrestrial' (1982)?,Stanley Kubrick,James Cameron,Steven Spielberg,Tim Burton,3,https://stack.com.au/wp-content/uploads/2017/10/4K_ET_review1.jpg
2,What was the name of the protagonist in the movie Commando (1985)?,Ben Richards,Harry Tasker,John Matrix,Douglas Quaid,3,https://ultimateactionmovies.com/wp-content/uploads/2018/10/Arnold-Commando.jpg
3,"In Back to the Future Part II, Marty and Dr. Emmett Brown go to which future date?","August 28, 2015","January 25, 2015","October 21, 2015","July 20, 2015",3,https://compote.slate.com/images/1122a168-4bc0-4863-81fc-6843df6d941a.jpg
4,"In Big Hero 6, what were Baymax's motions modeled after?",Baby monkeys,Baby bears,Baby ostriches,Baby penguins,4,https://i2.wp.com/www.small-screen.co.uk/wp-content/uploads/2020/03/big-hero-6-disney-plus.jpg
5,What is the name of James Dean's character in the 1955 movie 'Rebel Without a Cause'?,Jim Stark,Jim Kane,Ned Stark,Frank Stark,1,https://pmcdeadline2.files.wordpress.com/2019/11/james-dean.jpg
6,"This movie contains the quote, 'I love the smell of napalm in the morning!'",Apocalypse Now,The Deer Hunter,Platoon,Full Metal Jacket,1,
7,"In 'Jurassic World', what is the name of the dinosaur that is a genetic hybrid?",Mosasaurus,Tyrannosaurus Rex ,Indominus Rex,Pteranodon,3,https://img.cinemablend.com/filter:scale/quill/b/b/2/6/3/3/bb263312f67e38285dbd3eae8e2b69ad809881d2.jpg?fw=1200
8,What is the highest grossing film of all time (without adjusting for inflation)?,Titanic,Avatar,Avengers: Endgame,Jurassic World,3,
9,"In the 1964 film 'Zulu', what song does the British Army company sing before the final battle?",Scotland the Brave,The British Grenadiers,Men of Harlech,Colonel Bogey March,3,
10,What is the name of the villian in the 2015 Russian-American Sci-Fi Movie 'Hardcore Henry'?,Estelle,Jimmy,Henry,Akan,4,
11,What was the first feature-length computer-animated movie?,Lion king,Tron,101 Dalmatians,Toy Story,4,
12,What was the last Marx Brothers film to feature Zeppo?,Duck Soup,Monkey Business,A Night at the Opera,A Day at the Races,1,https://s.hdnux.com/photos/34/64/42/7555226/3/gallery_medium.jpg
13,"In order to cut costs, what were most of the extras of Mad Max (1979) paid with?",Fast food,They weren't paid,Beer,Food stamps,3,
14,"In the movie 'The Iron Giant', this character is the protagonist.",Hogarth Hughes,Annie Hughes,Kent Mansley,Dean McCoppin,1,
15,"Which movie contains the quote, 'Say hello to my little friend!'?",Reservoir Dogs,Heat,Scarface,Goodfellas,3,
16,Who directed the movie 'Alien'?,James Cameron,Ridley Scott,Christopher Nolan,Michael Bay,2,https://www.newstatesman.com/sites/default/files/styles/cropped_article_image/public/blogs_2019/03/ripley_scott.jpg
17,Which of the following is not the name of a 'Bond Girl'? ,Vanessa Kensington,Wai Lin,Pam Bouvier,Mary Goodnight,1,
18,What is the species of the 'Predator' in the 1987 movie 'Predator'?,Praetorian,Xenomorph,Phocrex,Yautja,4,
19,"According to 'Star Wars' lore, which planet does Obi-Wan Kenobi come from?",Naboo,Stewjon,Alderaan,Tatooine,2,
20,"In Mulan (1998), who is the leader of the Huns?",Li Shang,Chien-Po,Fa Zhou,Shan Yu,4,
21,Which stand-up comedian voiced the talking parrot 'Iago' in Disney's 1992 adaptation of Aladdin?,Robin Williams,Jonathan Freeman,Pauly Shore,Gilbert Gottfried,4,
22,What was the first James Bond film?,Thunderball,Dr. No,From Russia With Love,Goldfinger,2,
23,In which African country was the 2006 film 'Blood Diamond' mostly set in?,Central African Republic,Sierra Leone,Burkina Faso,Liberia,2,
24,The 2016 Disney animated film 'Moana' is based on which culture?,Native American,Nordic,Polynesian,Japanese,3,
25,What is the correct phrase for the Latin saying 'Romanes Eunt Domus' in Monty Python's Life of Brian?,Romans Go Home,Tomate Ite Domum,Romani Ite Domum,Roxani Ite Domum,3,
26,"In the movie 'The Iron Giant', this character is the protagonist.",Annie Hughes,Kent Mansley,Dean McCoppin,Hogarth Hughes,4,
27,"In the 1984 movie 'The Terminator', what model number is the Terminator portrayed by Arnold Schwarzenegger?",I-950,T-888,T-800,T-1000,3,
28,"In 'Star Trek Nemesis', why was Praetor Shinzon created?",To steal the Enterprise,To destroy the Enterprise,To become Picard's friend ,To replace Picard as a Romulan Agent,4,
29,In which movie does Robin Williams' character have to disguise themselves into a woman?,Old Dogs,Awakenings,Mrs. Doubtfire,Jumanji,3,
30,Who played the female lead in the 1933 film 'King Kong'?,Jean Harlow,Vivien Leigh,Fay Wray,Mae West,3,
31,What is the name of the island that 'Jurassic Park' is built on?,Isla Pena,Isla Nublar,Isla Sorna,Isla Muerta,2,
32,"The 1939 movie 'The Wizard of Oz' contained a horse that changed color, what material did they use to achieve this effect?",Dye,Paint,Gelatin,CGI Effect,3,
